model type, mode, seed, dataset, n_samples, loss type, epochs, batch size, patience, s_patinece, s_factor, n_splits, net_width, net_depth, kernel_gamma, hpo_n_trials, lr                   , l2_penalty            , loss_best, fold1 , fold2 , fold3 , fold4 , fold5 , ATE
nmmr_h    , cf  ,   42, sgd    ,      5000, u        ,    150,        500,       30,         15,      0.5,        5,        50,         4,          1.0,           10, 0.0008166221387086153, 1.3004727716187388e-06,  0.000987, 1.9529, 2.0095, 2.058 , 1.9458, 1.9618, 1.985592
nmmr_h    , cf  ,   42, sgd    ,      5000, u        ,    150,        500,       30,         15,      0.5,        5,        55,         4,          1.0,           10, 0.000812994066766427 , 1.387869549767317e-06 ,  0.00118 , 1.9756, 2.0454, 1.9178, 1.9638, 1.8214, 1.944796
nmmr_h    , cf  ,   42, sgd    ,      5000, u        ,    150,        500,       30,         15,      0.5,        5,        55,         4,          1.0,           10, 0.0017784977197093778, 1.7145326773169857e-06,  0.001714, 1.9795, 1.9069, 1.9006, 1.9293, 1.8968, 1.922619
nmmr_h    , cf  ,   42, sgd    ,      5000, u        ,    150,        500,       30,         15,      0.5,        5,        50,         4,          1.0,           10, 0.0013329006102895838, 2.150819054277545e-06 ,  0.001229, 2.1007, 2.151 , 2.0273, 2.1404, 2.0914, 2.102157
nmmr_h    , cf  ,   42, sgd    ,      5000, u        ,    150,        500,       30,         15,      0.5,        5,        45,         4,          1.0,           10, 0.0013561650853986397, 3.6815873954325337e-06,  0.001648, 2.0607, 1.9831, 1.9805, 1.9986, 2.0589, 2.016359
nmmr_h    , cf  ,   42, sgd    ,      5000, u        ,    150,        500,       30,         15,      0.5,        5,        45,         4,          1.0,           10, 0.001785117876686671 , 1.9528029458730713e-06,  0.001073, 2.0449, 1.9831, 2.0624, 2.0171, 2.0461, 2.03072
nmmr_h    , cf  ,   42, sgd    ,      5000, u        ,    150,        500,       30,         15,      0.5,        5,        50,         4,          1.0,           10, 0.0013389931557213934, 3.4578011839047683e-06,  0.003444, 2.007 , 1.9239, 1.8573, 1.9023, 1.9715, 1.932406
nmmr_h    , cf  ,   42, sgd    ,      5000, v        ,    150,        500,       30,         15,      0.5,        5,        45,         4,          1.0,           10, 0.0016143322939870404, 3.622130938467147e-06 ,  0.004552, 2.0716, 2.0447, 2.0685, 2.0993, 2.0566, 2.068141
nmmr_h    , cf  ,   42, sgd    ,      5000, v        ,    150,        500,       30,         15,      0.5,        5,        55,         4,          1.0,           10, 0.001911913190339914 , 1.8298734047231928e-06,  0.00577 , 2.1022, 2.0552, 2.0948, 2.1061, 2.0797, 2.087603
nmmr_h    , cf  ,   42, sgd    ,      5000, v        ,    150,        500,       30,         15,      0.5,        5,        50,         4,          1.0,           10, 0.0016049440013719096, 2.493137446650079e-06 ,  0.004546, 2.114 , 2.0765, 2.0773, 2.0651, 2.0243, 2.071435
nmmr_h    , cf  ,   42, sgd    ,      5000, v        ,    150,        500,       30,         15,      0.5,        5,        50,         4,          1.0,           10, 0.0016012032635551526, 1.5808959306477016e-06,  0.003839, 2.01  , 1.9773, 2.0787, 1.9845, 2.0648, 2.023067
nmmr_h    , cf  ,   42, sgd    ,      5000, v        ,    150,        500,       30,         15,      0.5,        5,        50,         4,          1.0,           10, 0.001353220067727207 , 1.88643084259792e-06  ,  0.004204, 2.0734, 2.0535, 2.1512, 2.1099, 2.0592, 2.089427
nmmr_h    , cf  ,   42, sgd    ,      5000, v        ,    150,        500,       30,         15,      0.5,        5,        55,         4,          1.0,           10, 0.0009447690135380158, 4.406196293558665e-06 ,  0.005466, 2.0431, 2.0366, 2.0373, 2.0751, 2.075 , 2.053425
nmmr_h    , cf  ,   42, sgd    ,      5000, v        ,    150,        500,       30,         15,      0.5,        5,        55,         4,          1.0,           10, 0.0012879139533629972, 1.8615523437173968e-06,  0.00499 , 2.0333, 2.0109, 2.03  , 2.0104, 2.036 , 2.024113
nmmr_h    , cf  ,   42, sgd    ,      5000, v        ,    150,        500,       30,         15,      0.5,        5,        45,         4,          1.0,           10, 0.0013077544917237565, 2.020255219290917e-06 ,  0.005944, 2.0787, 2.0825, 2.0202, 2.0993, 2.0689, 2.069918
nmmr_h    , cf  ,   42, sgd    ,      5000, v        ,    150,        500,       30,         15,      0.5,        5,        50,         4,          1.0,           10, 0.0011631137544617918, 1.0693159224472239e-06,  0.00516 , 2.047 , 2.0489, 2.012 , 2.0742, 2.1014, 2.05671
nmmr_h    , cf  ,   42, sgd    ,      5000, v        ,    150,        500,       30,         15,      0.5,        5,        50,         4,          1.0,           10, 0.0008969245153351967, 1.8889630943340005e-06,  0.006523, 1.9927, 2.0433, 2.054 , 2.0576, 2.0299, 2.035505
